commercial_name_en,commercial_name_ar,scientific_name,manufacturer,drug_class,route,price_egp
ONDALENZ 8 MG 5 ORODISPERSIBLE FILMS,أوندالينز 5 أوروديسبيرسيبلي فيلمس,ONDANSETRON,NERHADOU INTERNATIONAL CO.,ANTIEMETIC,UNKNOWN,265.0
ONDAMETIC 4MG/2ML 5 AMP.,أونداميتيك /,ONDANSETRON,PHAROPHARMA,ANTIEMETIC,INJECTION,142.5
ONDAMETIC 8MG/4ML 5 AMP.,أونداميتيك /,ONDANSETRON,PHAROPHARMA,ANTIEMETIC,INJECTION,265.0
ONDAMITAFLEX 8 MG 10 F.C. TABS.,أونداميتافليكس,ONDANSETRON,GYPTO PHARMA,ANTIEMETIC,ORAL.SOLID,136.0
ONDELTATRON 4MG/2ML 5 I.M./I.V./INF. AMP.,أونديلتاترون / 5 ./ ./,ONDANSETRON,PHAROPHARMA > DELTA PHARMA,ANTIEMETIC,INJECTION,140.0
ONDELTATRON 8MG/4ML 5 I.M./I.V./INF. AMP.,أونديلتاترون / 5 ./ ./,ONDANSETRON,PHAROPHARMA > DELTA PHARMA,ANTIEMETIC,INJECTION,265.0
ONDOGRAND 24MG 10 TAB.,أوندوجراند,ONDANSETRON,GRAND PHARMA > DELTA GRAND,ANTIEMETIC,ORAL.SOLID,140.0
ONE ALPHA 0.25MCG 30 CAPS.,أوني ألفا,ALFACALCIDOL,LEO PHARMACEUTICAL PRODUCTS > MINA PHARM,VITAMIN D,ORAL.SOLID,108.0
ONE ALPHA 0.5 MCG 30 CAPS.,أوني ألفا,ALFACALCIDOL,LEO PHARMACEUTICAL PRODUCTS > PHARMA OVER SEAS,VITAMIN D,ORAL.SOLID,178.0
ONE ALPHA 1 MCG 30 CAPS.,أوني ألفا,ALFACALCIDOL,MINA PHARM > LEO PHARMACEUTICAL PRODUCTS,VITAMIN D,ORAL.SOLID,200.0
ONE ALPHA 1MCG/0.5ML 10 AMPS.,أوني ألفا /,ALFACALCIDOL,LEO PHARMACEUTICAL PRODUCTS > PHARMA OVER SEAS,VITAMIN D,INJECTION,476.0
ONE ALPHA 2MCG/ML 10 AMPS.,أوني ألفا /مل,ALFACALCIDOL,LEO PHARMACEUTICAL PRODUCTS,VITAMIN D,INJECTION,236.0
ONE ALPHA 2MCG/ML ORAL DROPS 10ML,أوني ألفا /مل أورال,ALFACALCIDOL,LEO PHARMACEUTICAL PRODUCTS > EGYPTIAN PHARMACEUTICAL TRADING COMPANY,VITAMIN D,ORAL.LIQUID,221.0
ONE ALPHA 2MCG/ML ORAL DROPS 20ML,أوني ألفا /مل أورال,ALFACALCIDOL,LEO PHARMACEUTICAL PRODUCTS > EGYPTIAN PHARMACEUTICAL TRADING COMPANY,VITAMIN D,ORAL.LIQUID,382.0
ONE DAILY MENS MULTIVITAMIN 100 CAPLETS (ILLEGAL IMPORT),أوني دايلي مينس مولتيفيتامين 100 كابليتس,VITAMINS(A+C+D3+E+K+B1+B2+B6+B12)+FOLIC ACID+BIOTIN+CALCIUM+MAGNESIUM+ZINC+SELENIUM+COPPER+MANGANESE+CHROMIUM+LYCOPENE,PURITANS PRIDE,MULTIVITAMINS,ORAL.SOLID,42.0
ONE FE ONE 120 ML SYRUP,أوني في أوني,LYSIN 80 MG+IRON 14 MG+ZINC 10 MG+VITAMIN C 20 MG+NIACIN 16 MG+B1 8 MG+B6  4MG+PANTOTHENIC ACID 4 MG+B2 2 MG+B12 10 MCG,ORGANO PHARMA > MPCO,APPETIZER + MULTIVITAMIN,ORAL.LIQUID,75.0
ONE MILLI D  DROPS 400IU/ML,أوني ميللي د /مل,VITAMIN D3 400IU/DROPPER,ORGANIX > CELENOVA PHARMACEUTICAL,VITAMIN D3 DROPPER,ORAL.LIQUID,39.0
ONE& HALF 30 TABLET,أوني& هالف,MULTIVITAMINS,ORGANIX > NORK PHARMA,MULTIVITAMINS,ORAL.SOLID,170.0
ONEBOND WASH FOR MEN 250 ML,أونيبوند واش مين,TEA TREE+ZINC GLUCONATE+CITRUS(LEMON)+OTHERS,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > ONEBOND FOR HIM AND FOR HER FOR COSMETICS,skin care,TOPICAL,199.0
ONECEUTIK 50 GM GEL,أونيسيوتيك,MENTHOL+OLIVE OIL+CAMPHOR OIL+ALCOHOL,VETALITY > ZOLOX,MASSAGE CREAM,TOPICAL,85.0
ONEFEROL BONE 2800 I.U./ML ORAL DROPS 30 ML,أونيفيرول بوني 2800 إ.أو./مل أورال,CHOLECALCIFEROL(VITAMIN D3),PHARMAZAD > PHARMA ONE,VITAMIN D,ORAL.LIQUID,46.0
ONETOLY 250 ML INTIMATE WASH,أونيتولي إنتيماتي واش,TEA TREE OIL+CHLORHEXIDINE+CHAMOMILE+ALOE BARBADENSIS LEAF JUICE+ROSA DAMASCENA FLOWER OIL+CALENDULA+THYMUS VULGARIS FLOWER,KEMPTRO FOR PHARMACEUTICAL INDUSTRY > ON PHARMACEUTICALS,VAGINAL CARE,VAGINAL,85.0
ONETOLY 50GM GEL,أونيتولي,CYCLOPENTADILOXANE+DIMETHICONE+ISOHEXADECANE+*CYCLOMETHICONE*+ONION EXTRACT+CHAMOMILE+ALOVERA+PANTHENOL+PROPYLENE GLYCOL+ISONONIL ISONONATE,KEMPTRO FOR CHEMICAL INDUSTRIES AND PHARMACEUTICAL AND COSMETIC > ON PHARMACEUTICAL,SCAR GEL,TOPICAL,370.0
ONEX CREAM 60 GM,أونيكس,,HI-CARE > AVANO PHARMA,SCAR THERAPY,TOPICAL,175.0
ONGLYZA 2.5 MG 30 TABLETS,أونجليزا,SAXAGLIPTIN,BRISTOL-MYERS SQUIBB > UNITED PHARMA INTER,ANTI-DIABETIC.SECRETAGOGUES.DPP-4 INHIBITORS,ORAL.SOLID,200.0
ONGLYZA 5 MG 30 TABLETS,أونجليزا,SAXAGLIPTIN,BRISTOL-MYERS SQUIBB > UNITED PHARMA INTER,ANTI-DIABETIC.SECRETAGOGUES.DPP-4 INHIBITORS,ORAL.SOLID,200.0
ONKOTRONE 20 MG VIAL (N/A),أونكوتروني,MITOXANTRONE,ARZNEIMITTLWERK DRESDEN GMBH > BAXTER AG SCIENTIFIC OFFICE,ANTINEOPLASTIC,INJECTION,650.0
ONSIME 1 GM I.M/I.V VIAL (N/A),أونسيمي /,CEFEPIME,SIGMA TEC,ANTIBIOTIC.CEPHALOSPORIN.FOURTH-GENERATION,INJECTION,30.75
ONSIME 500MG I.M/I.V VIAL (N/A),أونسيمي /,CEFEPIME,SIGMA TEC,ANTIBIOTIC.CEPHALOSPORIN.FOURTH-GENERATION,INJECTION,20.0
ONY 10 MG 20 TABS.,أوني,LORATADINE,UNIPHARMA,ANTI-HISTAMINE.ANTI-ALLERGY,ORAL.SOLID,51.0
ONY 5MG/5ML SYRUP 100 ML,أوني /,LORATADINE,UNIPHARMA,ANTI-HISTAMINE.ANTI-ALLERGY,ORAL.LIQUID,39.0
ONY HAIR LOTION 120 ML,أوني هاير,,HI-CARE > PICO,HAIR CARE,UNKNOWN,38.0
ONY HAIR OIL 120 ML,أوني هاير أويل,,HI-CARE > PICO,HAIR CARE,UNKNOWN,42.0
ONY HAIR SHAMPOO 250 ML,أوني هاير,,HI-CARE > PICO,HAIR CARE,UNKNOWN,68.0
OODY D3 30ML DROP,أوودي د3,VITAMIN D3 CHOLECALCIFEROL,ORGANIX FOR FOOD > GEO PHARMACEUTICALS,MULTIVITAMIN,ORAL.LIQUID,65.9
OPDIVO 100MG/10 ML I.V. VIAL,أوبديفو /,NIVOLUMAB,BRISTOL-MYERS SQUIBB > BRISTOL-MYERS SQUIBB SCIENTIFIC OFFICE,ANTINEOPLASTIC,INJECTION,36568.0
OPDIVO 40MG/4ML I.V. VIAL,أوبديفو /,NIVOLUMAB,BRISTOL-MYERS SQUIBB > BRISTOL-MYERS SQUIBB SCIENTIFIC OFFICE,ANTINEOPLASTIC,INJECTION,15851.0
OPHILOCOND 0.1% EYE DROPS 5 ML,أوفيلوكوند 0.1% إيي,OLOPATADINE,SIGMA TEC > CONCORD PHARMACEUTICAL INDUSTRIES,OPHTHALMIC ANTIHISTAMINIC,UNKNOWN,34.0
OPHILOCOND FORTE 0.2% EYE DROPS 5 ML,أوفيلوكوند فورتي 0.2% إيي,OLOPATADINE,SIGMA TEC > CONCORD PHARMACEUTICAL INDUSTRIES,OPHTHALMIC ANTIHISTAMINIC,UNKNOWN,56.0
OPHTAMYCETINE 0.5% EYE DROPS.,أوفتاميسيتيني 0.5% إيي,CHLORAMPHENICOL,KAHIRA,ANTIBIOTIC,EYE,2.65
OPHTASTAT 0.25% EYE DROPS 3 ML,أوفتاستات 0.25% إيي,ALCAFTADINE,RAMEDA > PHARMA MEDICA,ANTI-HISTAMINE.SECOND-GENERATION,EYE,72.0
OPHTATROV 0.004% EYE DROPS 2.5 ML,أوفتاتروف 0.004% إيي,TRAVOPROST,MINA PHARM,ANTIGLAUCOMA,EYE,79.0
OPHTATROV PLUS 0.004%/0.5% EYE DROPS 2.5 ML,أوفتاتروف بلوس 0.004%/0.5% إيي,TIMOLOL+TRAVOPROST,MINA PHARM,ANTIGLAUCOMA,UNKNOWN,97.0
OPHTHALIN 1% INTRAOCULAR PREF. SYRINGE,أوفثالين 1% إنتراوكولار بريف. سيرينجي,HYALURONIC ACID,HYALTECH LTD-UNITED KINGDOM > MEDI TEC-EGYPT,.,INJECTION,160.0
OPICHESTAL SYRUP 120ML,أوبيتشيستال,SALBUTAMOL,EL-OBOUR,BRONCHODILATOR,ORAL.LIQUID,2.0
OPICROCEED 50 MG 10 F.C. TAB.,أوبيكروسيد,ACARBOSE,EL-OBOUR,DIABETES,ORAL.SOLID,7.5
OPIE 20 SACHETS,أوبي,PSYLLIUM HUSK+CHROMIUM,PREMIER INTERNATIONAL PHARMACEUTICAL > JOUVA PHARMA,FOOD SUPPLEMENT,EFF,360.0
OPIKAST 10 MG 14 SCORED F.C. TABS.,أوبيكاست 14 سكوريد,MONTELUKAST,EL-OBOUR,ASTHMA.ANTI-INFLAMMATORY.LEUKOTRIENE ANTAGONIST,ORAL.SOLID,22.2
OPIKAST 4 MG 14 CHEW. TABS.,أوبيكاست 14 تشيو,MONTELUKAST,EL-OBOUR,ASTHMA.ANTI-INFLAMMATORY.LEUKOTRIENE ANTAGONIST,ORAL.SOLID,22.0
OPIKAST 4 MG 21 CHEW. TABS.,أوبيكاست 21 تشيو,MONTELUKAST,EL-OBOUR,ASTHMA.ANTI-INFLAMMATORY.LEUKOTRIENE ANTAGONIST,ORAL.SOLID,33.0
OPINIDAZOLE 1000MG 8 F.C.TAB.,أوبينيدازولي,SECNIDAZOLE,EL-OBOUR,ANTIPROTOZOAL,ORAL.SOLID,84.0
OPIRALINE 100MG 10 F.C.TAB.,أوبيراليني,SERTRALINE,EL-OBOUR,PSYCHIATRIC.ANTIDEPRESSANTS,ORAL.SOLID,32.0
OPIRALINE 50 MG 20 F.C. TABS.,أوبيراليني,SERTRALINE,EL-OBOUR,PSYCHIATRIC.ANTIDEPRESSANTS,ORAL.SOLID,29.0
OPIX NERVE 20 TABS.,أوبيكس نيرفي,PALMITOYLETHANOLAMIDE(PEA)+THIAMINE HYDROCHLORIDE+PYRIDOXINE HYDROCHLORIDE+CYANOCOBALAMIN,COPAD,ANALGESIC,ORAL.SOLID,200.0
OPLEX MONO SYRUP 125 ML,أوبليكس مونو,OXOMEMAZINE,AMRIYA,ANTI-COUGH.ANTITUSSIVE,ORAL.LIQUID,30.0
OPLEX-N PLUS 10 SUPP.,أوبليكس-ن بلوس 10 سوبب,GUAIFENESIN+OXOMEMAZINE+PARACETAMOL(ACETAMINOPHEN)+SODIUM BENZOATE,AMRIYA,ANTI-COUGH.ANTITUSSIVE AND EXPECTORANT,RECTAL,32.0
OPLEX-N SYRUP 125 ML,أوبليكس-ن,GUAIFENESIN+OXOMEMAZINE+SODIUM BENZOATE,AMRIYA,ANTI-COUGH.ANTITUSSIVE AND EXPECTORANT,ORAL.LIQUID,31.0
OPONOV 20 TABS.,أوبونوف,RUTOSID+BROMELAIN+TRYPSIN+L-LEUCINE,COPAD EGYPT,ENZYME REPLACEMENT THERAPY,ORAL.SOLID,135.0
OPONOV FORTE  20 TABS,أوبونوف فورتي,RUTOSID+TRYPSIN+BROMELAIN+L-LEUCINE+CHYMOTRYPSIN,COPAD EGYPT > COPAD PHARMA,ENZYME REPLACEMENT THERAPY,ORAL.SOLID,143.0
OPRANATE 20/1100MG 10 CAPS.,أوبراناتي 20/,OMEPRAZOLE+SODIUM BICARBONATE,RAMEDA,PEPTIC ULCER.PROTON PUMP INHIBITOR,ORAL.SOLID,34.5
OPRANATE 20/1680MG PD. FOR ORAL SUSP. 5 SACHET,أوبراناتي 20/ بد. أورال,OMEPRAZOLE+SODIUM BICARBONATE,RAMEDA,PEPTIC ULCER.PROTON PUMP INHIBITOR,EFF,22.5
OPRANATE 40/1100MG 10 CAPS.,أوبراناتي 40/,OMEPRAZOLE+SODIUM BICARBONATE,RAMEDA,PEPTIC ULCER.PROTON PUMP INHIBITOR,ORAL.SOLID,57.0
OPRANATE 40/1680MG PD. FOR ORAL SUSP. 5 SACHET,أوبراناتي 40/ بد. أورال,OMEPRAZOLE+SODIUM BICARBONATE,RAMEDA,PEPTIC ULCER.PROTON PUMP INHIBITOR,EFF,22.5
OPRASTA 5MG/100ML SOLN. FOR I.V. INF. VIAL,أوبراستا /,ZOLEDRONIC ACID,PHARCO,OSTEOPOROSIS.BISPHOSPHONATES,INJECTION,1582.0
OPSUMIT 10 MG  30 F.C.TABS.,أوبسوميت,MACITENTAN,PATHEON ITALIA-SPA > JANSSEN SCIENTIFIC OFFICE,ENDOTHELIN RECEPTOR ANTAGONIST,ORAL.SOLID,32400.0
OPTA ROSE GEL,أوبتا روسي,CYCLOPENTASILOXANE+VINYL DIMETHICONE CROSSPOLYMER+SODIUM HYALURONATE+TOCOPHEROL+ALLANTOIN+POLYAMINOPROPYL BIGUANIDE,COSMO PACK > OPTAVIT PHARMA,ANTI SCAR,TOPICAL,350.0
OPTA TRIBXON 30 CAPS.,أوبتا تريبكسون,TRIBULUS TERRESTRES+L-ARGININE+ZINC SULFATE+SELENLIUM SULFATE+VIT B5,ORGANEX > OPTIMED,MULTIVITAMIN,ORAL.SOLID,189.0
OPTACADO 300MG 30 CAP,أوبتاكادو,AVOCADO OIL+SOYA BEAN OIL,ORGANEX > OPTIMED,MULTIVITAMIN,ORAL.SOLID,285.0
OPTADEROL 30 ML ORAL DROP,أوبتاديرول أورال,VIT D3,ORGANEX > OPTIMED,MULTIVITAMIN,ORAL.LIQUID,42.0
OPTADEROL PLUS 30 CAPS.,أوبتاديرول بلوس,VITAMIN D3+VITAMIN K2,ORGANEX > OPTIMED,MULTIVITAMIN,ORAL.SOLID,180.0
OPTAHEMANAT 30 TABLET,أوبتاهيمانات,FERROUS BISGLYCINATE 25MG+FOLIC ACID 400MCG+VIT B12 100MCG+VIT B6 25MG+VIT C 200MG,ORGANIX > OPTAVIT PHARMA,IRON SUPPLEMENT,ORAL.SOLID,120.0
OPTAMINESS 100 F.C. TABS.,أوبتامينيسس,L-HISTIDINE+L-ISOLEUCINE+L-LEUCINE+L-LYSINE+L-METHIONINE+L-PHENYLALANINE+L-THREONINE+L-TRYPTOPHAN+L-TYROSINE+L-VALINE,RAMEDA,KIDNEY FAILURE,ORAL.SOLID,660.0
OPTAMINESS 150 F.C. TABS.,أوبتامينيسس,L-HISTIDINE+L-ISOLEUCINE+L-LEUCINE+L-LYSINE+L-METHIONINE+L-PHENYLALANINE+L-THREONINE+L-TRYPTOPHAN+L-TYROSINE+L-VALINE,RAMEDA,KIDNEY FAILURE,ORAL.SOLID,990.0
OPTAMINESS 200 F.C. TABS.,أوبتامينيسس,L-HISTIDINE+L-ISOLEUCINE+L-LEUCINE+L-LYSINE+L-METHIONINE+L-PHENYLALANINE+L-THREONINE+L-TRYPTOPHAN+L-TYROSINE+L-VALINE,RAMEDA,KIDNEY FAILURE,ORAL.SOLID,1320.0
OPTAPRO MASSAGE GEL 100 GM,أوبتابرو ماسساجي,MENTHOL+PANTHENOL+CLOVE OIL+MAGNESIUM+BOSWELLIA+WINTERGREEN OIL+ROSEMARY OIL+PEPPERMINT+OMEGA 3+CAMPHOR OIL+NIGELLA SATIVA+EUCALYPTUS OIL,> OPTIMED,MASSAGE,TOPICAL,150.0
OPTEST 0.05% EYE DPS. 5 ML,أوبتيست 0.05% إيي دبس,EPINASTINE,SIGMA TEC > EVA PHARMA,H1- AND H2-RECEPTORS BLOCKER,EYE,28.0
OPTI-FREE EXPRESS CONT. LENS SOLUTION 120 ML,أوبتي-فري إكسبريسس كونت. لينس,BORIC ACID+EDETATE DISODIUM+SODIUM BORATE+SODIUM CHLORIDE+TETRONIC+POLYQUAD+ALDOX,ALCON > NOVARTIS SCIENTIFIC OFFICE,CONTACT LENSES SOLUTION,EYE,175.0
OPTI-FREE EXPRESS CONT. LENS SOLUTION 355 ML,أوبتي-فري إكسبريسس كونت. لينس,BORIC ACID+EDETATE DISODIUM+SODIUM BORATE+SODIUM CHLORIDE+TETRONIC+POLYQUAD+ALDOX,ALCON > NOVARTIS SCIENTIFIC OFFICE,CONTACT LENSES SOLUTION,EYE,320.0
OPTI-FREE PUREMOIST CONT. LENS SOLUTION 300 ML,أوبتي-فري بوريمويست كونت. لينس,BORIC ACID+EDETATE DISODIUM+SODIUM BORATE+SODIUM CHLORIDE+TETRONIC+POLYQUAD+ALDOX,ALCON > NOVARTIS SCIENTIFIC OFFICE,CONTACT LENSES SOLUTION,EYE,365.0
OPTI-FREE PUREMOIST CONT. LENS SOLUTION 90 ML,أوبتي-فري بوريمويست كونت. لينس,BORIC ACID+EDETATE DISODIUM+SODIUM BORATE+SODIUM CHLORIDE+TETRONIC+POLYQUAD+ALDOX,ALCON > NOVARTIS SCIENTIFIC OFFICE,CONTACT LENSES SOLUTION,EYE,185.0
OPTI-MEN MULTIVITAMIN 240 TABLETS,أوبتي-مين مولتيفيتامين,MULTIVITAMINS+MINERALS,OPTIMUM NUTRITION > RAMCO,SUPPLEMENT,ORAL.SOLID,48.0
OPTI-MILK 30 BITES VANILLA FLAVOR,أوبتي-ميلك 30 بيتيس فانيللا فلافور,COLOSTRUM-LACTOFERIN - PROBIOTIC - VIT D - WHEY PROTEIN,PHARMA ZAD > SERAFY PHARMA,,ORAL.SOLID,179.0
OPTI-WOMEN MULTIVITAMIN 120 CAPS.,أوبتي-وومين مولتيفيتامين,MULTIVITAMINS+MINERALS,OPTIMUM NUTRITION > RAMCO,SUPPLEMENT,ORAL.SOLID,24.0
OPTIBA 10 SACHETS,أوبتيبا,PROBIOTIC BLEND( LACTOBACILLUS PLANTARUM+BIFIDOBACTERIUM LONGUM SUBSP.INFANTIS),PHARMAZAD > PHARMALINE,ANTIDIARRHEAL   PROBIOTICS,EFF,100.0
OPTIC SALINE 5% EYE DROPS 15 ML,أوبتيك ساليني 5% إيي,SODIUM CHLORIDE,GRAND PHARMA > APIC,SALINE,EYE,35.0
OPTIC SALINE 5% EYE DROPS 5 ML (N/A),أوبتيك ساليني 5% إيي,SODIUM CHLORIDE,GRAND PHARMA > APIC,.,EYE,7.0
OPTICURE 2% EYE DROPS 10 ML (N/A),أوبتيكوري 2% إيي,SODIUM CROMOGLYCATE,RAMEDA > PHARMAPACK,ANTI-HISTAMINE.ANTI-ALLERGY,EYE,7.15
OPTIDEX -T EYE DROPS 5 ML,أوبتيديكس -ت إيي,DEXAMETHASONE+TOBRAMYCIN,JAMJOOM PHARMACEUTICALS,ANTIBIOTIC WITH GLUCOCORTICOID,EYE,48.0
OPTIFLOX 0.3% EYE DROPS 5 ML,أوبتيفلوكس 0.3% إيي,OFLOXACIN,JAMJOOM PHARMACEUTICALS-K.S.A > JAMJOOM PHARMA,ANTIBIOTIC.QUINOLONE,EYE,19.5
OPTIFRESH EYE DROPS 10 ML,أوبتيفريش إيي,POLYVINYL ALCOHOL+POVIDONE,JAMJOOM PHARMACEUTICALS,ARTIFICIAL TEARS,EYE,42.0
OPTIFUCIN 1% VISCOUS EYE DROPS 5 GM,أوبتيفوسين 1% فيسكوس إيي,FUSIDIC ACID,AMMAN PHARMACEUTICAL CO - JORDAN > ADM FOR TRADING & PROJECTS-EGYPT,ANTIBIOTIC,EYE,27.0
OPTIGENT 0.3% EYE/EAR DROPS 5 ML,أوبتيجينت 0.3% إيي/إار,GENTAMICIN,EIPICO,AMINOGLYCOSIDE ANTIBIOTIC,EYE,10.0
OPTIGENT 0.3% EYE/EAR OINT. 5 GM,أوبتيجينت 0.3% إيي/إار,GENTAMICIN,EIPICO,AMINOGLYCOSIDE ANTIBIOTIC,EYE,10.0
OPTIGUARD 3MG/ML EYE DROPS 15 ML,أوبتيجوارد /مل إيي,HYDROXYPROPYL METHYLCELLULOSE,RAMEDA > PHARCO,EYE LUBRICANT,EYE,28.0
OPTILUBRIC 0.32% EYE DROPS 30*0.5 ML SDU,أوبتيلوبريك 0.32% إيي 30 سدو,HYPROMELLOSE,EVA PHARMA,EYE LUBRICANT,EYE,96.0
OPTIMELT B12 - 30 SUBLINGUAL TABS.,أوبتيميلت ب12 - 30 سوبلينجوال,METHYLCOBALAMIN,> TOP PHARM,VITAMIN B12,ORAL.SOLID,100.0
OPTIMIZED FOLATE 1000 MCG 100 TABS.(ILLEGAL IMPORT),أوبتيميزيد فولاتي,L-METHYLFOLATE,LIFE EXTENSION >,FOLIC ACID DERIVATIVE,ORAL.SOLID,80.0
OPTIPHONIC  ANTIFUNGAL SPRAY,أوبتيفونيك أنتيفونجال,SALICYLIC ACID+BORIC ACID+CHLORHEXIDINE+TEA TREE OIL+THYMUS VULGARIS+ZINC PCA+PANTHENOL+KETOZOL,NILE > BIOCARE,ANTIFUNGAL SPRAY,UNKNOWN,69.0
OPTIPHONIC DROPS 15 ML,أوبتيفونيك,MELALEUCA ALTERNIFOLIA+TOCOPHEROL+THYMUS VULGARIS+CHAMOMILLA RECUTITA+CHLORHEXIDINE DIGLUCONATE,NILE > BIOCARE,ANTIFUNGAL DROPS,EAR,60.0
OPTIPRED 10MG/ML EYE DROPS (SUSP.) 5 ML,أوبتيبريد /مل إيي,PREDNISOLONE,JAMJOOM PHARMACEUTICALS,GLUCOCORTICOID,EYE,54.0
OPTIRAY 300MG/ML I.V. 12 VIAL 100 ML,أوبتيراي /مل,IOVERSOL,MALLINCKRODT INC. > GHALIOUNGUI TRADING,RADIOGRAPHIC PROCEDURES.CONTRAST AGENT,INJECTION,2436.0
OPTIRAY 300MG/ML I.V. 25 VIAL 50 ML,أوبتيراي /مل,IOVERSOL,MALLINCKRODT INC. > GHALIOUNGUI TRADING,RADIOGRAPHIC PROCEDURES.CONTRAST AGENT,INJECTION,2800.0
OPTIRAY 350MG/ML I.V. 12 VIAL 100 ML,أوبتيراي /مل,IOVERSOL,MALLINCKRODT INC. > GHALIOUNGUI TRADING,RADIOGRAPHIC PROCEDURES.CONTRAST AGENT,INJECTION,2721.75
OPTIRAY 350MG/ML I.V. VIAL 200 ML,أوبتيراي /مل,IOVERSOL,MALLINCKRODT INC. > GHALIOUNGUI TRADING,RADIOGRAPHIC PROCEDURES.CONTRAST AGENT,INJECTION,434.0
OPTIRAY 350MG/ML I.V. VIAL 50 ML,أوبتيراي /مل,IOVERSOL,MALLINCKRODT INC. > GHALIOUNGUI TRADING,RADIOGRAPHIC PROCEDURES.CONTRAST AGENT,INJECTION,126.0
OPTIVE EYE DROPS 30*0.4 ML SDU,أوبتيفي إيي 30 سدو,GLYCERIN+SODIUM CARBOXYMETHYLCELLULOSE,ALLERGAN > SOFICOPHARM,EYE LUBRICANT,EYE,98.0
OPTIVE LUBRICANT EYE DROPS 15 ML,أوبتيفي لوبريكانت إيي,GLYCERIN+SODIUM CARBOXYMETHYLCELLULOSE,ALLERGAN > SOFICOPHARM,EYE LUBRICANT,EYE,52.5
OPTIVISC 20MG/2ML INTRA-ARTICULAR PREFILLED SYRINGE,أوبتيفيسك / إنترا-أرتيكولار بريفيلليد سيرينجي,SODIUM HYALURONATE,IVY SPORTS MEDICINE > INTERNATIONAL PIONNEERS,ANALGESIC ANTI-INFLAMMATORY.TISSUE LUBRICANT,INJECTION,1300.0
OPTIVISC 90MG / 3ML PREFILLED SYRINGE,أوبتيفيسك / بريفيلليد سيرينجي,INTRA-ARTICULAR HYALURONIC ACID,BIOTECH > INTERNATIONAL PIONEERS,LUBRICANT FOR JOINTS,UNKNOWN,6600.0
OPTIVITA PERFECT (NOW RESCUVITA) 20 CAPS.,أوبتيفيتا بيرفيكت,WHEAT GERM OIL+BEE POLLEN+BEE PROPOLIS+YEAST,ARAB CAPS > EGYPHARMA-EGYPT,MULTIVITAMINS,ORAL.SOLID,70.0
OPTIZOLIN EYE DROPS 10 ML,أوبتيزولين إيي,ANTAZOLINE+TETRAHYDROZOLINE,JAMJOOM PHARMACEUTICALS,ANTI-ALLERGIC,EYE,24.0
OPTO Q3  0.3 % EYE DROPS 5 ML,أوبتو ك3 0.3 % إيي,NORFLOXACIN,CID,ANTIBIOTIC.QUINOLONE,EYE,3.75
OPTOCETINE 0.5% EYE DROPS,أوبتوسيتيني 0.5% إيي,CHLORAMPHENICOL,CID,ANTIBIOTIC,EYE,4.0
OPTOFLAME 0.1% EYE DROPS,أوبتوفلامي 0.1% إيي,DICLOFENAC SODIUM,CID,NSAID.ACETIC ACID DERIVATIVES,EYE,4.5
OPTOTROP 1% EYE DROPS 10 ML,أوبتوتروب 1% إيي,TROPICAMIDE,EIPICO,MYDRIATIC,EYE,54.0
OPTOZOLINE EYE DROPS 10 ML,أوبتوزوليني إيي,CHLORPHENIRAMINE+NAPHAZOLINE,CID,CORNEAL VASCULARITY.ANTIHISTAMINE COMBINED WITH ALPHA 1 AGONIST,EYE,24.0
OPTOZOLINE EYE DROPS 15 ML,أوبتوزوليني إيي,CHLORPHENIRAMINE+NAPHAZOLINE,CID,CORNEAL VASCULARITY.ANTIHISTAMINE COMBINED WITH ALPHA 1 AGONIST,EYE,1.5
OPTY COUGH SYRUP 120 ML,أوبتي كوغ,GUAVA LEAVES+TILIA FLOWER+FENNEL OIL,EL-OBOUR > DR. KHAIRY COMPANY FOR EXPORT,COUGH PRODUCTS,ORAL.LIQUID,14.28
OPTY PROST 20 CAPS.,أوبتي بروست,PUMPKIN SEED OIL,ARAB CAPS > DR. KHAIRY COMPANY FOR EXPORT,PROSTATE CARE,UNKNOWN,37.0
ORA COLLAGEN C 60 TABS.,أورا كوللاجين ك,GELATIN (COLLAGEN) HYDROLYSATE+VITAMIN C,PHARMA ZAD > ORA LINES,ANTI-RHEUMATIC OSTEOARTHRITIS ANABOLIC AGENTS,ORAL.SOLID,500.0
ORA FREE 1.4% ORAL SPRAY,أورا فري 1.4% أورال,PHENOL,EGYPTIAN CO. FOR ADV. PHARMA. (ECAP) > MILLENIUM PHARMA-EGYPT,ORAL CARE,SPRAY,9.0
ORA-DENT MOUTH WASH 120ML,أورا-دينت موث واش,THYMOL+EUCALYPTOL+MENTHOL+AMINO FLUORIDE,LEADER COSMETICS > LEADERS PHARMA,ORAL CARE,MOUTH,25.0
ORA-PAL 20 CAPS.,أورا-بال,PARSLEY,PHAROPHARMA,.,ORAL.SOLID,6.0
ORA.ZED MOUTH WASH 120ML,أورا.زيد موث واش,MENTHOL+CINNAMON OIL+CLOVE OIL,TOP.Z PHARMA,ORAL CARE,MOUTH,40.0
